"stichtag";"bezirk";"einwohner";"giessmenge"
"31.12.2024";"Berlin";3897145;0
"31.12.2024";"Charlottenburg-Wilmersdorf";343500;290742
"31.12.2024";"Friedrichshain-Kreuzberg";292624;239879
"31.12.2024";"Lichtenberg";315548;86091
"31.12.2024";"Marzahn-Hellersdorf";294091;29245
"31.12.2024";"Mitte";397004;320801
"31.12.2024";"Neukölln";329488;152716
"31.12.2024";"Pankow";427276;239540
"31.12.2024";"Reinickendorf";274098;82701
"31.12.2024";"Spandau";259277;9661
"31.12.2024";"Steglitz-Zehlendorf";310044;167577
"31.12.2024";"Tempelhof-Schöneberg";356959;282599
"31.12.2024";"Treptow-Köpenick";297236;107948
NA;NA;NA;0
