Stichtag;bezirk;einwohner;jahr;giessmenge
31.12.2020;Mitte;383360;2020;69740
31.12.2020;Friedrichshain-Kreuzberg;289787;2020;106810
31.12.2020;Pankow;410716;2020;52670
31.12.2020;Charlottenburg-Wilmersdorf;341392;2020;60750
31.12.2020;Spandau;245527;2020;2560
31.12.2020;Steglitz-Zehlendorf;308840;2020;29455
31.12.2020;Tempelhof-Schöneberg;349539;2020;74810
31.12.2020;Neukölln;327945;2020;47450
31.12.2020;Treptow-Köpenick;276165;2020;15360
31.12.2020;Marzahn-Hellersdorf;273731;2020;310
31.12.2020;Lichtenberg;296837;2020;24935
31.12.2020;Reinickendorf;266123;2020;11645
31.12.2021;Mitte;385692;2021;40560
31.12.2021;Friedrichshain-Kreuzberg;289014;2021;36105
31.12.2021;Pankow;413168;2021;28445
31.12.2021;Charlottenburg-Wilmersdorf;333998;2021;28100
31.12.2021;Spandau;247396;2021;1435
31.12.2021;Steglitz-Zehlendorf;307135;2021;17300
31.12.2021;Tempelhof-Schöneberg;348523;2021;38800
31.12.2021;Neukölln;327100;2021;25660
31.12.2021;Treptow-Köpenick;280357;2021;10645
31.12.2021;Marzahn-Hellersdorf;277639;2021;2690
31.12.2021;Lichtenberg;299686;2021;15030
31.12.2021;Reinickendorf;265772;2021;8825
31.12.2022;Mitte;395599;2022;130719
31.12.2022;Friedrichshain-Kreuzberg;293231;2022;76252
31.12.2022;Pankow;420768;2022;100920
31.12.2022;Charlottenburg-Wilmersdorf;341155;2022;128153
31.12.2022;Spandau;254175;2022;4579
31.12.2022;Steglitz-Zehlendorf;311040;2022;82265
31.12.2022;Tempelhof-Schöneberg;353913;2022;103891
31.12.2022;Neukölln;329476;2022;51100
31.12.2022;Treptow-Köpenick;289180;2022;47465
31.12.2022;Marzahn-Hellersdorf;285678;2022;18715
31.12.2022;Lichtenberg;308286;2022;32172
31.12.2022;Reinickendorf;268308;2022;40184
31.12.2023;Mitte;397134;2023;79125
31.12.2023;Friedrichshain-Kreuzberg;293454;2023;36741
31.12.2023;Pankow;424307;2023;44759
31.12.2023;Charlottenburg-Wilmersdorf;343081;2023;53664
31.12.2023;Spandau;257091;2023;1047
31.12.2023;Steglitz-Zehlendorf;310446;2023;31468
31.12.2023;Tempelhof-Schöneberg;355868;2023;46943
31.12.2023;Neukölln;330017;2023;26713
31.12.2023;Treptow-Köpenick;294081;2023;31138
31.12.2023;Marzahn-Hellersdorf;291948;2023;9105
31.12.2023;Lichtenberg;311881;2023;21086
31.12.2023;Reinickendorf;268792;2023;13584
31.12.2024;Mitte;397004;2024;33237
31.12.2024;Friedrichshain-Kreuzberg;292624;2024;17884
31.12.2024;Pankow;427276;2024;20515
31.12.2024;Charlottenburg-Wilmersdorf;343500;2024;22980
31.12.2024;Spandau;259277;2024;635
31.12.2024;Steglitz-Zehlendorf;310044;2024;11065
31.12.2024;Tempelhof-Schöneberg;356959;2024;21855
31.12.2024;Neukölln;329488;2024;12069
31.12.2024;Treptow-Köpenick;297236;2024;8359
31.12.2024;Marzahn-Hellersdorf;294091;2024;320
31.12.2024;Lichtenberg;315548;2024;8868
31.12.2024;Reinickendorf;274098;2024;12138
