Stichtag;Berlin;Mitte;Friedrichshain-Kreuzberg;Pankow;Charlottenburg-Wilmersdorf;Spandau;Steglitz-Zehlendorf;Tempelhof-Schöneberg;Neukölln;Treptow-Köpenick;Marzahn-Hellersdorf;Lichtenberg;Reinickendorf
31.12.2013;3 517 424; 348 102; 273 517; 377 532; 322 870; 226 868; 298 200; 331 822; 322 153; 245 951; 254 226; 264 858; 251 325
31.12.2014;3 562 166; 356 506; 275 691; 384 367; 326 354; 230 419; 299 268; 335 767; 325 716; 249 440; 256 173; 268 465; 254 000
31.12.2015;3 610 156; 363 236; 278 393; 389 976; 330 468; 234 630; 299 765; 341 161; 328 062; 253 333; 259 373; 275 142; 256 617
31.12.2016;3 670 622; 371 407; 281 323; 397 406; 336 249; 239 942; 304 086; 346 108; 327 522; 259 524; 262 015; 283 121; 261 919
31.12.2017;3 711 930; 377 965; 283 974; 402 289; 338 831; 242 143; 307 076; 348 739; 329 387; 264 999; 266 684; 286 246; 263 597
31.12.2018;3 748 148; 383 457; 289 120; 407 039; 341 327; 243 080; 308 077; 351 429; 330 786; 269 775; 268 739; 290 493; 264 826
31.12.2019;3 769 495; 385 748; 290 386; 409 335; 343 592; 245 197; 310 071; 350 984; 329 917; 273 689; 269 967; 294 201; 266 408
31.12.2020;3 769 962; 383 360; 289 787; 410 716; 341 392; 245 527; 308 840; 349 539; 327 945; 276 165; 273 731; 296 837; 266 123
31.12.2021;3 775 480; 385 692; 289 014; 413 168; 333 998; 247 396; 307 135; 348 523; 327 100; 280 357; 277 639; 299 686; 265 772
31.12.2022;3 850 809; 395 599; 293 231; 420 768; 341 155; 254 175; 311 040; 353 913; 329 476; 289 180; 285 678; 308 286; 268 308
31.12.2023;3 878 100; 397 134; 293 454; 424 307; 343 081; 257 091; 310 446; 355 868; 330 017; 294 081; 291 948; 311 881; 268 792
31.12.2024;3 897 145; 397 004; 292 624; 427 276; 343 500; 259 277; 310 044; 356 959; 329 488; 297 236; 294 091; 315 548; 274 098
