"STATIONS_ID";"MESS_DATUM";"QN_3";"FX";"FM";"QN_4";"RSK";"RSKF";"SDK";"SHK_TAG";"NM";"VPM";"PM";"TMK";"UPM";"TXK";"TNK";"TGK";"eor"
433;2023-09-23;10;10,4;3,6;9;0;0;-999;0;5,3;12,3;1007,8;15,1;72;18,9;12;10,6;"eor"
433;2023-09-24;10;7,5;2,1;9;0;0;-999;0;3,4;12,1;1020,5;14,4;75;19,4;10,5;7,3;"eor"
433;2023-09-25;10;7,3;2,7;9;0;0;-999;0;2,9;12,7;1021;15,2;76;22,2;9,1;6,2;"eor"
433;2023-09-26;10;7,6;1,9;9;0;0;-999;0;3,6;15,9;1017,2;17,4;81;24,7;9,9;6;"eor"
433;2023-09-27;10;5,5;1,5;9;0;0;-999;0;3,8;16,8;1014,7;19,2;78;27;10,7;7,7;"eor"
433;2023-09-28;10;6,1;1,9;9;0;0;-999;0;4,6;15,7;1011,8;19,7;71;27,7;14,2;10,4;"eor"
433;2023-09-29;10;14,6;2,4;9;0;6;-999;0;7,8;16,4;1011,2;19,1;75;23,1;13,2;9,8;"eor"
433;2023-09-30;10;12,3;4,5;9;0;0;-999;0;4,8;12,5;1018,3;15,5;72;20,4;12;8,8;"eor"
433;2023-10-01;10;9,5;2,7;9;1,2;6;-999;0;7,8;13;1017,6;16,1;72;20,4;13,1;12,6;"eor"
433;2023-10-02;10;7,6;2,1;9;0;6;-999;0;6,8;15,6;1014,2;20,1;67;26;13,7;10,5;"eor"
433;2023-10-03;10;18;4,6;9;9,1;6;-999;0;6,5;14,8;1006,9;18,1;73;25;13;9,4;"eor"
433;2023-10-04;10;14,2;4,9;9;0;6;-999;0;6,6;12,1;1017,1;14,4;74;18,3;11,7;10,7;"eor"
433;2023-10-05;10;14,3;4,2;9;1,4;6;-999;0;7,1;12,4;1015,9;12,9;84;16,8;10;6,3;"eor"
433;2023-10-06;10;11,4;3,9;9;0;6;-999;0;7,9;13,4;1015,4;15,3;78;18,6;10,5;8,9;"eor"
433;2023-10-07;10;13,9;5,4;9;15,4;6;-999;0;7,9;14,8;1009,4;15,7;84;18,4;10,9;10,5;"eor"
433;2023-10-08;10;8;2,6;9;-999;6;-999;0;6,4;9,7;1018,1;12,1;70;15,2;9,6;8;"eor"
433;2023-10-09;10;5,7;2,3;9;-999;6;-999;0;7,8;11,3;1012,9;10,2;91;11,7;8,9;8,7;"eor"
433;2023-10-10;10;7,6;2,4;9;-999;6;-999;0;7,9;14,5;1012,1;14,2;90;17;10,4;10,2;"eor"
433;2023-10-11;10;10,2;3,8;9;-999;-999;-999;0;7,3;14,3;1005,6;19;66;23,6;14,4;13,1;"eor"
433;2023-10-12;10;11,4;3,1;9;-999;-999;-999;0;7,8;13,8;1007;15,2;81;21;12,4;11,7;"eor"
433;2023-10-13;10;9,7;3,8;9;-999;-999;-999;0;7,6;16,1;1003;17,8;80;22;12,9;12,5;"eor"
