MESS_DATUM_BEGINN;MO_RR;MO_TT
01.08.2023;57,2;19,89
01.09.2023;21,6;18,89
01.10.2023;-999;12,3
01.11.2023;64,4;6,09
01.12.2023;116,7;4,2
01.01.2024;45,7;1,92
01.02.2024;71,2;7,27
01.03.2024;35,3;8,46
01.04.2024;26;11,89
01.05.2024;34,5;17,69
01.06.2024;48,5;18,66
01.07.2024;102,4;20,51
01.08.2024;31,6;21,72
01.09.2024;41,4;17,75
01.10.2024;26,6;11,85
01.11.2024;53,7;5,62
01.12.2024;36,4;4,16
01.01.2020;34;4,66
01.02.2020;83,2;6,24
01.03.2020;30,3;5,92
01.04.2020;22,7;11,18
01.05.2020;33,3;12,94
01.06.2020;35,8;19,49
01.07.2020;46,8;19,16
01.08.2020;43,2;22,29
01.09.2020;52,8;16,41
01.10.2020;58,2;11,52
01.11.2020;16,4;7,32
01.12.2020;22,1;3,5
01.01.2021;45,1;1,32
01.02.2021;27,6;1,41
01.03.2021;31,8;5,73
01.04.2021;21,2;7,18
01.05.2021;53,7;12,55
01.06.2021;55;21,63
01.07.2021;53,4;21,21
01.08.2021;76,1;18,05
01.09.2021;35,3;16,28
01.10.2021;20,3;11,12
01.11.2021;67,5;6,56
01.12.2021;45,4;2,31
01.01.2022;29,6;3,8
01.02.2022;55;5,29
01.03.2022;1,3;5,85
01.04.2022;29,1;8,78
01.05.2022;31;15,88
01.06.2022;22;20,66
01.07.2022;33;20,59
01.08.2022;58,5;22,02
01.09.2022;47,4;14,19
01.10.2022;23,3;13,21
01.11.2022;9,2;6,15
01.12.2022;49,9;2,09
01.01.2023;65,2;4,69
01.02.2023;43,4;3,59
01.03.2023;69,4;6,17
01.04.2023;47,5;8,41
01.05.2023;-999;14,38
01.06.2023;-999;19,69
01.07.2023;74,1;20,3
01.08.2023;57,2;19,89
01.09.2023;-999;18,89
01.10.2023;-999;12,3
01.11.2023;64,4;6,09
01.12.2023;-999;4,2
