"";"bzrID";"bzrNAME";"GESIx_2013";"GESIx_2022";"ESIx_2013";"ESIx_2022";"DI_2013";"DI_2022";"DII_2013";"DII_2022";"DIII_2013";"DIII_2022"
"1";10111;"Tiergarten Süd";-1,1571627;-0,51435292;-1,1446247;-0,61138558;-0,29034969;-0,090434551;-1,9158782;-1,106649;-1,0262946;-0,21657206
"2";10112;"Regierungsviertel";0,78633577;0,82907408;0,51550847;0,57332569;0,68013853;0,64149225;0,27587137;0,45982489;1,2586167;1,2998506
"3";10113;"Alexanderplatz";0,34540012;0,88135403;0,63411289;0,72193319;0,54919261;0,61392272;0,64644963;0,78025669;-0,40568218;1,113534
"4";10114;"Brunnenstraße Süd";0,8463884;1,2549762;0,99607277;1,1070504;1,1165586;1,1488173;0,74418831;0,9811756;0,30760807;1,3543842
"5";10221;"Moabit West";-0,91724831;-0,82002932;-1,0668956;-0,86405975;-0,79425442;-0,59172559;-1,2262999;-1,0823848;-0,39810136;-0,55908597
"6";10222;"Moabit Ost";-0,85148072;-0,71353781;-1,011938;-0,82678616;-0,44831893;-0,36750242;-1,4890383;-1,241974;-0,34497342;-0,32117105
"7";10331;"Osloer Straße";-2,1659219;-1,9899303;-1,9005773;-1,9018291;-2,0720387;-2,3524001;-1,4823992;-1,2923098;-2,3450477;-1,7164408
"8";10332;"Brunnenstraße Nord";-1,7718838;-1,8250844;-1,9004724;-1,8782177;-1,7729361;-1,8849245;-1,8017776;-1,7312621;-1,1172961;-1,2799964
"9";10441;"Parkviertel";-0,95832962;-1,0407194;-0,90052015;-1,0848511;-1,0597445;-1,0202345;-0,61905825;-1,0710748;-0,88829529;-0,70299101
"10";10442;"Wedding Zentrum";-2,0809138;-2,0179067;-1,993762;-2,0420973;-1,7406492;-1,7676157;-2,0177083;-2,1748466;-1,8889766;-1,5421782
"11";20101;"Südliche Friedrichstadt";-2,8776863;-2,1683135;-3,31777;-2,6353457;-2,7104716;-2,1853042;-3,5564604;-2,9061377;-1,2976896;-0,53201962
"12";20202;"Tempelhofer Vorstadt";-0,5261367;-0,15004529;-0,73279059;-0,43892461;-0,27989012;0,048408139;-1,1261036;-0,9121412;0,034161374;0,56939936
"13";20303;"nördliche Luisenstadt";-2,5413952;-1,60461;-2,9102662;-1,795508;-1,6374271;-1,2970476;-3,9104493;-2,1791642;-1,2567251;-0,81740367
"14";20304;"südliche Luisenstadt";-1,1600906;-1,0583159;-1,4148983;-1,055195;-0,72635335;-0,3096168;-1,9756587;-1,7505792;-0,3768571;-0,92924798
"15";20405;"Karl-Marx-Allee Nord";0,11037305;-0,0046569901;0,39608648;0,33916435;0,16547106;0,24365306;0,59352261;0,41304123;-0,57337916;-0,88407314
"16";20407;"Karl-Marx-Allee Süd";0,27119023;0,17227472;0,29891768;0,19777735;0,25739512;0,089091487;0,30632684;0,29586989;0,15371446;0,082030766
"17";20506;"Frankfurter Allee Nord";-0,10490196;0,1153386;-0,051873688;0,37272519;0,1261396;0,60339588;-0,23566242;0,10546997;-0,22544523;-0,6093092
"18";20508;"Frankfurter Allee Süd FK";-0,15429725;0,31782639;0,32214877;0,47226173;0,25131387;0,51136267;0,3580052;0,39646855;-1,2530059;-0,15920396
"19";30101;"Buch";-1,3655891;-0,82283103;-0,61287987;-0,59161294;-0,93690544;-0,9037258;-0,19089477;-0,2234925;-2,8558114;-1,1990967
"20";30202;"Blankenfelde/Niederschönhausen";0,59695703;0,94714689;0,79456741;0,93528557;0,89639121;0,86913985;0,5875358;0,93424433;-0,0039603724;0,77588409
"21";30203;"Buchholz";0,95804632;1,0161574;0,76552576;0,86524069;0,84320748;0,89637184;0,58787984;0,76843077;1,2163169;1,1778891
"22";30304;"Karow";1,1816996;0,84997571;1,0092573;0,81695563;1,011497;0,66343439;0,8820852;0,91544431;1,3532896;0,76682574
"23";30307;"Blankenburg/Heinersdorf/Märchenland";1,2662662;1,090284;1,3369794;1,159404;1,3157537;0,92401099;1,1943617;1,3173649;0,8429476;0,69914967
"24";30405;"Schönholz/Wilhelmsruh/Rosenthal";1,0932498;1,099357;1,0932446;1,1638581;1,0798626;1,091046;0,97238022;1,1527009;0,87293303;0,69675183
"25";30406;"Pankow Zentrum";0,48361343;0,75495064;0,57846022;0,7341013;0,48627144;0,6892423;0,60544378;0,72595626;0,16742676;0,64700073
"26";30408;"Pankow Süd";0,29663375;0,59672147;0,47395536;0,67215598;0,34577128;0,68853301;0,55231923;0,60505497;-0,17522812;0,26581734
"27";30509;"Weißensee";-0,28492016;0,21543436;0,21723077;0,41868356;0,096217304;0,48544249;0,31967303;0,31817025;-1,4141316;-0,36924726
"28";30510;"Weißensee Ost";0,07588955;0,18248565;0,2055663;0,10056427;-0,18638435;0,0020237865;0,5989393;0,19537;-0,2148976;0,36765754
"29";30611;"Prenzlauer Berg Nordwest";0,22067153;0,66230196;0,48684219;0,69737434;0,56337327;0,88649309;0,34488052;0,44905928;-0,46531299;0,39884999
"30";30612;"Prenzlauer Berg Nord";0,39682311;0,56674194;0,45087442;0,66890985;0,40480369;0,75896955;0,44435605;0,52555591;0,19151869;0,1633507
"31";30613;"Helmholtzplatz";0,047179423;0,52607352;0,31181243;0,4470219;0,79415828;0,93623781;-0,24211098;-0,094183594;-0,63498521;0,54977769
"32";30614;"Prenzlauer Berg Ost";-0,13044211;-0,62930346;-0,0074612093;-0,069739863;-0,18072423;-0,25897744;0,17858784;0,13191797;-0,38232023;-1,9177084
"33";30715;"Prenzlauer Berg Südwest";0,95651156;1,0452265;0,86794668;0,99378967;1,0812819;1,1566657;0,53269613;0,75062573;0,95551503;0,92471433
"34";30716;"Prenzlauer Berg Süd";0,3849692;0,83807707;0,56949145;0,70636815;0,77440751;0,92363977;0,28013572;0,42815524;-0,15068249;0,96499383
"35";40101;"Charlottenburg Nord";-0,87062818;-1,0476586;-1,217397;-1,2591286;-1,5051244;-1,4095269;-0,7594561;-1,0091412;0,15742882;-0,24536836
"36";40202;"Heerstraße";1,2837681;1,1873306;1,1478026;1,1146559;1,4340185;1,2095325;0,70008105;0,93307739;1,3232132;1,0993274
"37";40203;"Westend";0,75608051;0,99538445;0,44208536;0,6888814;0,78420526;0,86352646;0,021883121;0,4562254;1,3221183;1,5469307
"38";40304;"Schloß Charlottenburg";-0,54535526;-0,26563275;-0,81415117;-0,48476377;-0,02316284;0,19290034;-1,5586426;-1,1521591;0,13785864;0,27325979
"39";40305;"Mierendorffplatz";-0,58550799;-0,014214665;-0,63189012;-0,31425351;-0,47784841;-0,045549165;-0,71835589;-0,56979007;-0,36957535;0,73282963
